filename,marker,mpp_um_per_px,magnification_tier,counterstain_grade,counterstain_fraction,reportable,note
001.png,ER,0.2609,high,absent,3e-05,False,
0010.png,ER,0.625,usable,marginal,0.0138,True,
002.png,ER,0.5714,high,absent,2e-05,False,
003.png,ER,0.531,high,absent,5e-05,False,
004.png,ER,0.5085,high,absent,0.00015,False,
005.png,ER,0.4808,high,absent,6e-05,False,
006.png,ER,2.2472,marginal,absent,0.00687,False,
007.png,ER,0.3788,high,marginal,0.02115,True,
008.png,ER,0.6897,usable,absent,0.00685,False,
009.png,ER,0.4274,high,marginal,0.01425,True,
011.png,ER,0.3817,high,absent,0.00646,False,
012.png,ER,1.0989,usable,absent,0.00818,False,
013.png,ER,0.367,high,marginal,0.0286,True,
014.png,ER,0.8403,usable,marginal,0.02959,True,
015.png,ER,0.8333,usable,marginal,0.02774,True,
016.png,ER,0.614,usable,absent,0.00053,False,
017.png,ER,0.219,high,absent,0.00362,False,
018.png,ER,0.2609,high,absent,0.00193,False,
019.png,ER,0.4587,high,absent,0.00391,False,
020.png,ER,0.4425,high,absent,0.00424,False,
021.png,ER,0.6612,usable,absent,0.00343,False,
022.png,ER,1.0753,usable,absent,0.00056,False,
023.png,ER,1.3333,marginal,absent,0.0004,False,
024.png,ER,0.2941,high,absent,0.00223,False,
025.png,ER,0.75,usable,absent,0.00017,False,
026.png,ER,0.6897,usable,absent,0.00017,False,
027.png,ER,0.283,high,absent,0.00244,False,
028.png,ER,,unknown,absent,0.00193,False,scale bar label unreadable; mpp withheld
029.png,ER,,unknown,absent,0.00136,False,scale bar label unreadable; mpp withheld
030.png,ER,0.3774,high,absent,0.00142,False,
032.png,ER,0.303,high,absent,0.00168,False,
033.png,ER,0.3419,high,absent,0.0012,False,
034.png,ER,0.3876,high,absent,0.00049,False,
035.png,ER,0.2778,high,absent,0.001,False,
036.png,ER,0.3896,high,absent,0.00054,False,
2.png,ER,0.3061,high,absent,3e-05,False,
31.png,ER,0.2083,high,absent,0.00158,False,
_20250227150420_viewcapture1.png,ER,0.2222,high,marginal,0.01324,True,
_20250227150420_viewcapture10.png,ER,0.3,high,marginal,0.01327,True,
_20250227150420_viewcapture11.png,ER,0.2609,high,absent,0.0035,False,
_20250227150420_viewcapture2.png,ER,0.2521,high,absent,0.00407,False,
_20250227150420_viewcapture3.png,ER,0.2609,high,absent,0.00349,False,
_20250227150420_viewcapture4.png,ER,0.2609,high,absent,0.0056,False,
_20250227150420_viewcapture5.png,ER,0.2206,high,marginal,0.01273,True,
_20250227150420_viewcapture6.png,ER,0.2439,high,absent,0.0028,False,
_20250227150420_viewcapture8.png,ER,0.3704,high,absent,0.00337,False,
_20250227150420_viewcapture9.png,ER,0.2609,high,absent,0.00389,False,
_20250227153800_viewcapture.png,ER,0.5172,high,absent,0.0008,False,
_20250227153800_viewcapture01.png,ER,0.3478,high,absent,0.00348,False,
_20250227153800_viewcapture02.png,ER,0.2083,high,absent,0.00585,False,
_20250227153800_viewcapture03.png,ER,0.2548,high,absent,0.00369,False,
_20250227153800_viewcapture04.png,ER,0.2609,high,absent,0.00505,False,
_20250227153800_viewcapture05.png,ER,0.2521,high,absent,0.00416,False,
_20250227153800_viewcapture06.png,ER,0.2609,high,absent,0.00264,False,
_20250227153800_viewcapture1.png,ER,0.5172,high,absent,0.00081,False,
_20250227153800_viewcapture111.png,ER,0.303,high,absent,0.00069,False,
_20250227153800_viewcapture12.png,ER,,unknown,absent,0.001,False,scale bar label unreadable; mpp withheld
_20250227153800_viewcapture2.png,ER,0.2609,high,absent,0.00107,False,
_20250227153800_viewcapture3.png,ER,0.2609,high,absent,0.00107,False,
_20250227153800_viewcapture4.png,ER,0.3306,high,absent,0.00489,False,
_20250227153800_viewcapture5.png,ER,0.2542,high,absent,0.00345,False,
_20250227153800_viewcapture6.png,ER,0.2632,high,absent,0.00431,False,
_20250227153800_viewcapture7.png,ER,0.2632,high,absent,0.00416,False,
_20250227153800_viewcapture71.png,ER,0.6612,usable,absent,0.00106,False,
_20250227153800_viewcapture8.png,ER,0.2632,high,absent,0.00676,False,
_20250227175405_viewcapture49.png,HER2,0.708,usable,absent,0.00024,False,
_20250227175405_viewcapture50.png,HER2,0.381,high,absent,0.00102,False,
_20250227175405_viewcapture51.png,HER2,0.2609,high,absent,0.0033,False,
_20250227175418_viewcapture39.png,HER2,0.5085,high,absent,0.00273,False,
_20250227175418_viewcapture40.png,HER2,0.4511,high,absent,0.00075,False,
_20250227175418_viewcapture41.png,HER2,0.5303,high,absent,0.00057,False,
_20250227175418_viewcapture42.png,HER2,0.4348,high,absent,0.00284,False,
_20250227175418_viewcapture43.png,HER2,0.4918,high,absent,0.00291,False,
_20250227175418_viewcapture44.png,HER2,0.4444,high,absent,0.00262,False,
_20250227175418_viewcapture45.png,HER2,0.4839,high,absent,0.00313,False,
_20250227175418_viewcapture46.png,HER2,0.4959,high,absent,0.00266,False,
_20250227175418_viewcapture47.png,HER2,0.5303,high,absent,0.00049,False,
_20250227175418_viewcapture48.png,HER2,0.404,high,absent,0.00297,False,
_20250227175431_viewcapture36.png,HER2,2.4793,marginal,absent,0.0,False,
_20250227175431_viewcapture37.png,HER2,0.5172,high,absent,0.00224,False,
_20250227175431_viewcapture38.png,HER2,0.5172,high,absent,0.00434,False,
_20250227175444_viewcapture33.png,HER2,4.9587,overview,absent,0.0,False,
_20250227175444_viewcapture34.png,HER2,0.5405,high,absent,0.00018,False,
_20250227175444_viewcapture35.png,HER2,0.4545,high,absent,0.00324,False,
_20250227175444_viewcapture36.png,HER2,0.381,high,absent,0.00105,False,
_20250227175509_viewcapture31.png,HER2,0.4082,high,adequate,0.21882,True,
_20250227175509_viewcapture32.png,HER2,0.2609,high,adequate,0.20005,True,
_20250227182433_viewcapture25.png,HER2,0.6195,usable,absent,0.0001,False,
_20250227182433_viewcapture26.png,HER2,0.2804,high,absent,0.00053,False,
_20250227182433_viewcapture27.png,HER2,0.2941,high,absent,0.00051,False,
_20250227182433_viewcapture28.png,HER2,0.2941,high,absent,0.00053,False,
_20250227182433_viewcapture29.png,HER2,0.3,high,absent,0.00098,False,
_20250227182433_viewcapture30.png,HER2,0.4348,high,absent,0.00082,False,
_20250227182446_viewcapture19.png,HER2,0.6667,usable,absent,0.00019,False,
_20250227182446_viewcapture20.png,HER2,0.3008,high,absent,0.00149,False,
_20250227182446_viewcapture21.png,HER2,0.4,high,absent,0.00091,False,
_20250227182446_viewcapture22.png,HER2,0.297,high,absent,0.00081,False,
_20250227182446_viewcapture23.png,HER2,0.2804,high,absent,0.0009,False,
_20250227182446_viewcapture24.png,HER2,0.2609,high,absent,0.00101,False,
_20250227182446_viewcapture25.png,HER2,0.2759,high,absent,0.00215,False,
_20250227182511_viewcapture16.png,HER2,0.8264,usable,absent,5e-05,False,
_20250227182511_viewcapture17.png,HER2,0.3175,high,absent,0.00448,False,
_20250227182511_viewcapture18.png,HER2,0.3597,high,absent,0.00553,False,
_20250227182524_viewcapture13.png,HER2,0.8264,usable,absent,0.0,False,
_20250227182524_viewcapture14.png,HER2,0.6087,usable,absent,9e-05,False,
_20250227182524_viewcapture15.png,HER2,0.4202,high,absent,0.0003,False,
_20250227182524_viewcapture16.png,HER2,0.4505,high,absent,0.00104,False,
_20250227182536_viewcapture1.png,HER2,0.4386,high,absent,0.00165,False,
_20250227182536_viewcapture10.png,HER2,0.8621,usable,absent,0.0005,False,
_20250227182536_viewcapture12.png,HER2,0.2521,high,absent,0.00214,False,
_20250227182536_viewcapture2.png,HER2,0.2609,high,absent,0.00191,False,
_20250227182536_viewcapture3.png,HER2,0.4511,high,absent,0.00272,False,
