filename,marker,mpp_um_per_px,counterstain_grade,n_nuclei_detected,n_positive,positive_density_per_mm2,percent_positive,percent_reportable,n_enclosed_cells,mean_membrane_completeness,median_cell_area_um2,note
001.png,ER,0.2609,absent,2.0,1.0,10.350954343168922,,False,,,,"counterstain absent: no denominator, percent withheld"
0010.png,ER,0.625,marginal,619.0,336.0,606.0490766164232,54.281098546042,True,,,,
002.png,ER,0.5714,absent,1.0,0.0,0.0,,False,,,,"counterstain absent: no denominator, percent withheld"
003.png,ER,0.531,absent,23.0,2.0,4.997692195047118,,False,,,,"counterstain absent: no denominator, percent withheld"
004.png,ER,0.5085,absent,26.0,13.0,35.42337926266227,,False,,,,"counterstain absent: no denominator, percent withheld"
005.png,ER,0.4808,absent,2.0,1.0,3.047892415268093,,False,,,,"counterstain absent: no denominator, percent withheld"
006.png,ER,2.2472,absent,474.0,181.0,25.25362188692836,,False,,,,"counterstain absent: no denominator, percent withheld"
007.png,ER,0.3788,marginal,293.0,68.0,333.9008489144646,23.208191126279864,True,,,,
008.png,ER,0.6897,absent,390.0,219.0,324.3786141535924,,False,,,,"counterstain absent: no denominator, percent withheld"
009.png,ER,0.4274,marginal,317.0,216.0,833.1309466979252,68.13880126182966,True,,,,
011.png,ER,0.3817,absent,214.0,179.0,865.6398921484989,,False,,,,"counterstain absent: no denominator, percent withheld"
012.png,ER,1.0989,absent,2387.0,1959.0,1143.0010790603665,,False,,,,"counterstain absent: no denominator, percent withheld"
013.png,ER,0.367,marginal,481.0,229.0,1197.9312794020257,47.60914760914761,True,,,,
014.png,ER,0.8403,marginal,1944.0,742.0,740.3954298322354,38.1687242798354,True,,,,
015.png,ER,0.8333,marginal,1788.0,998.0,1012.642915722388,55.8165548098434,True,,,,
016.png,ER,0.614,absent,55.0,32.0,59.80559110474088,,False,,,,"counterstain absent: no denominator, percent withheld"
017.png,ER,0.219,absent,33.0,17.0,249.7406529589726,,False,,,,"counterstain absent: no denominator, percent withheld"
018.png,ER,0.2609,absent,15.0,11.0,113.86049777485816,,False,,,,"counterstain absent: no denominator, percent withheld"
