arm,stage,stage_name,status,reason
A Kartasalo,1,nonlinear registration,blocked,dataset not acquired; images require author request
A Kartasalo,2,registration QC,blocked,dataset not acquired; images require author request
A Kartasalo,3,cell detection,blocked,dataset not acquired; images require author request
A Kartasalo,4,semantic segmentation,blocked,dataset not acquired; images require author request
A Kartasalo,5,3D reconstruction,blocked,dataset not acquired; images require author request
A Kartasalo,6,quantification and connectivity,blocked,dataset not acquired; images require author request
A Kartasalo,7,fiber alignment,blocked,dataset not acquired; images require author request
B ACROBAT,1,nonlinear registration,blocked,dataset not acquired; data use agreement
B ACROBAT,2,registration QC,blocked,dataset not acquired; data use agreement
B ACROBAT,3,cell detection,blocked,dataset not acquired; data use agreement
B ACROBAT,4,semantic segmentation,blocked,dataset not acquired; data use agreement
B ACROBAT,5,3D reconstruction,blocked,sections are not consecutive; no volume
B ACROBAT,6,quantification and connectivity,blocked,depends on stage 5
B ACROBAT,7,fiber alignment,blocked,dataset not acquired; data use agreement
C USM IHC,1,nonlinear registration,blocked,"single fields, nothing to register"
C USM IHC,2,registration QC,blocked,no registration to assess
C USM IHC,3,cell detection,ran,positives scored; negatives only where counterstain is present
C USM IHC,4,semantic segmentation,blocked,"a field shows one tissue type, not ten"
C USM IHC,5,3D reconstruction,blocked,no serial sections
C USM IHC,6,quantification and connectivity,blocked,no volume
C USM IHC,7,fiber alignment,blocked,needs an eosin channel; DAB-IHC has none
C USM IHC,+,DAB marker quantification,ran,225 of 234 images
C USM IHC,+,HER2 membrane completeness,ran,53 images
C USM IHC,+,spatial statistics of positives,ran,"64 point patterns, border corrected"
